Year,"Month","Value","Value Footnotes"
2020,"January","42836",""
2020,"February","36359",""
2020,"March","57951",""
2020,"April","60863",""
2020,"May","34955",""
2020,"June","30639",""
2020,"July","34599",""
2020,"August","35846",""
2020,"September","34439",""
2020,"October","39554",""
2020,"November","42120",""
2020,"December","41441",""
2019,"January","44382",""
2019,"February","37521",""
2019,"March","36854",""
2019,"April","33990",""
2019,"May","33624",""
2019,"June","31651",""
2019,"July","33351",""
2019,"August","31459",""
2019,"September","29688",""
2019,"October","32531",""
2019,"November","34506",""
2019,"December","36545",""
2018,"January","47661",""
2018,"February","39560",""
2018,"March","39587",""
2018,"April","34772",""
2018,"May","33223",""
2018,"June","31731",""
2018,"July","32020",""
2018,"August","32954",""
2018,"September","30056",""
2018,"October","32623",""
2018,"November","34119",""
2018,"December","36847",""
2017,"January","49139",""
2017,"February","37267",""
2017,"March","35566",""
2017,"April","33042",""
2017,"May","33437",""
2017,"June","32042",""
2017,"July","31714",""
2017,"August","32158",""
2017,"September","29809",""
2017,"October","32434",""
2017,"November","33963",""
2017,"December","41466",""
2016,"January","38162",""
2016,"February","35389",""
2016,"March","37978",""
2016,"April","33523",""
2016,"May","32776",""
2016,"June","31317",""
2016,"July","32772",""
2016,"August","32028",""
2016,"September","29825",""
2016,"October","31825",""
2016,"November","33613",""
2016,"December","39023",""
2015,"January","47066",""
2015,"February","42300",""
2015,"March","38811",""
2015,"April","33534",""
2015,"May","32489",""
2015,"June","30872",""
2015,"July","35458",""
2015,"August","31066",""
2015,"September","28649",""
2015,"October","31710",""
2015,"November","32191",""
2015,"December","36262",""
2014,"January","40209",""
2014,"February","34699",""
2014,"March","35014",""
2014,"April","31731",""
2014,"May","31358",""
2014,"June","30474",""
2014,"July","30835",""
2014,"August","30144",""
2014,"September","28861",""
2014,"October","31777",""
2014,"November","32325",""
2014,"December","36307",""
2013,"January","36926",""
2013,"February","33865",""
2013,"March","36156",""
2013,"April","31365",""
2013,"May","31160",""
2013,"June","30113",""
2013,"July","31886",""
2013,"August","29776",""
2013,"September","28055",""
2013,"October","30396",""
2013,"November","31988",""
2013,"December","36914",""
2012,"January","39878",""
2012,"February","43586",""
2012,"March","39139",""
2012,"April","32780",""
2012,"May","32134",""
2012,"June","29205",""
2012,"July","29439",""
2012,"August","30528",""
2012,"September","27910",""
2012,"October","30165",""
2012,"November","31681",""
2012,"December","34677",""
2011,"January","38081",""
2011,"February","33851",""
2011,"March","34515",""
2011,"April","30860",""
2011,"May","30941",""
2011,"June","29602",""
2011,"July","30188",""
2011,"August","30450",""
2011,"September","28332",""
2011,"October","31420",""
2011,"November","31799",""
2011,"December","35978",""
2010,"January","36755",""
2010,"February","32450",""
2010,"March","33469",""
2010,"April","31224",""
2010,"May","31140",""
2010,"June","29045",""
2010,"July","31419",""
2010,"August","29553",""
2010,"September","27606",""
2010,"October","30945",""
2010,"November","31704",""
2010,"December","34924",""
2009,"January","41867",""
2009,"February","32487",""
2009,"March","33301",""
2009,"April","31002",""
2009,"May","31115",""
2009,"June","29233",""
2009,"July","29708",""
2009,"August","30071",""
2009,"September","27545",""
2009,"October","30607",""
2009,"November","30837",""
2009,"December","35436",""
2008,"January","38256",""
2008,"February","34171",""
2008,"March","34390",""
2008,"April","31836",""
2008,"May","29902",""
2008,"June","29533",""
2008,"July","30180",""
2008,"August","29523",""
2008,"September","26951",""
2008,"October","30892",""
2008,"November","31600",""
2008,"December","36964",""
2007,"January","38495",""
2007,"February","34093",""
2007,"March","33896",""
2007,"April","31755",""
2007,"May","30660",""
2007,"June","28896",""
2007,"July","29752",""
2007,"August","29166",""
2007,"September","27525",""
2007,"October","30511",""
2007,"November","32583",""
2007,"December","35917",""
2006,"January","35221",""
2006,"February","31320",""
2006,"March","33707",""
2006,"April","29557",""
2006,"May","29747",""
2006,"June","28400",""
2006,"July","31442",""
2006,"August","28769",""
2006,"September","27790",""
2006,"October","29368",""
2006,"November","29692",""
2006,"December","34378",""
2005,"January","47867",""
2005,"February","37259",""
2005,"March","37337",""
2005,"April","30152",""
2005,"May","29644",""
2005,"June","28336",""
2005,"July","28452",""
2005,"August","27464",""
2005,"September","26235",""
2005,"October","28939",""
2005,"November","29507",""
2005,"December","33864",""
2004,"January","36284",""
2004,"February","31060",""
2004,"March","33465",""
2004,"April","30324",""
2004,"May","29998",""
2004,"June","27932",""
2004,"July","29152",""
2004,"August","28692",""
2004,"September","26578",""
2004,"October","29675",""
2004,"November","30810",""
2004,"December","35594",""
2003,"January","35620",""
2003,"February","31712",""
2003,"March","32253",""
2003,"April","30418",""
2003,"May","30117",""
2003,"June","31592",""
2003,"July","31077",""
2003,"August","34519",""
2003,"September","27350",""
2003,"October","29604",""
2003,"November","32207",""
2003,"December","35986",""
2002,"January","39869",""
2002,"February","33081",""
2002,"March","32894",""
2002,"April","30170",""
2002,"May","28837",""
2002,"June","28631",""
2002,"July","28558",""
2002,"August","27044",""
2002,"September","26203",""
2002,"October","28868",""
2002,"November","29088",""
2002,"December","32803",""
2001,"January","32434",""
2001,"February","28861",""
2001,"March","31019",""
2001,"April","28620",""
2001,"May","30221",""
2001,"June","28346",""
2001,"July","28816",""
2001,"August","29645",""
2001,"September","26054",""
2001,"October","28543",""
2001,"November","30069",""
2001,"December","34952",""
2000,"January","42531",""
2000,"February","32140",""
2000,"March","30163",""
2000,"April","29308",""
2000,"May","28432",""
2000,"June","27438",""
2000,"July","27858",""
2000,"August","27793",""
2000,"September","25585",""
2000,"October","28674",""
2000,"November","28931",""
2000,"December","30295",""
